"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
-0.13525,-0.55362,0.011691,0,0,0,0.068734,0.16876,0.016417,-0.24173,1,0.21924
-0.12985,-0.54771,0.011347,0,0,0,0.065019,0.16667,0.016581,-0.23626,1,0.22272
-0.12454,-0.54177,0.011014,0,0,0,0.061565,0.16458,0.016745,-0.23086,1,0.2262
-0.11939,-0.53578,0.010704,0,0,0,0.058606,0.16252,0.016909,-0.22561,1,0.22968
-0.11425,-0.5298,0.010393,0,0,0,0.055646,0.16047,0.017073,-0.22035,1,0.23316
-0.10939,-0.52379,0.01011,0,0,0,0.053212,0.15846,0.017238,-0.21532,1,0.23664
-0.10454,-0.51778,0.0098285,0,0,0,0.050805,0.15645,0.017404,-0.2103,1,0.24012
-0.099867,-0.51179,0.0095606,0,0,0,0.048628,0.15448,0.017572,-0.20542,1,0.2436
-0.095334,-0.50581,0.0093038,0,0,0,0.046634,0.15253,0.017741,-0.20066,1,0.24708
-0.090852,-0.49983,0.0090506,0,0,0,0.044691,0.1506,0.017911,-0.19593,1,0.25056
-0.086638,-0.49391,0.0088156,0,0,0,0.043014,0.14872,0.018085,-0.19142,1,0.25404
-0.082424,-0.48798,0.0085807,0,0,0,0.041338,0.14685,0.018258,-0.18691,1,0.25752
-0.078453,-0.48213,0.0083603,0,0,0,0.039851,0.14503,0.018436,-0.18259,1,0.261
-0.074556,-0.4763,0.0081445,0,0,0,0.038422,0.14323,0.018614,-0.17834,1,0.26448
-0.070773,-0.47051,0.0079348,0,0,0,0.037066,0.14145,0.018796,-0.17417,1,0.26796
-0.067184,-0.4648,0.0077356,0,0,0,0.035834,0.13973,0.018982,-0.17016,1,0.27144
-0.063595,-0.45908,0.0075364,0,0,0,0.034603,0.138,0.019167,-0.16615,1,0.27492
-0.060295,-0.4535,0.0073515,0,0,0,0.033527,0.13635,0.01936,-0.1624,1,0.2784
-0.057002,-0.44793,0.007167,0,0,0,0.032455,0.1347,0.019553,-0.15866,1,0.28188
-0.053868,-0.44244,0.0069906,0,0,0,0.031459,0.1331,0.019735,-0.15509,1,0.28536
-0.05085,-0.43703,0.00682,0,0,0,0.030518,0.13153,0.01991,-0.15162,1,0.28884
-0.047579,-0.43106,0.0069499,0,0,0,0.02951,0.1298,0.020118,-0.14782,1,0.29232
-0.043213,-0.4227,0.0083806,0,0,0,0.028215,0.12744,0.020469,-0.14252,1,0.2958
-0.038848,-0.41435,0.0098112,0,0,0,0.02692,0.12508,0.020821,-0.13723,1,0.29928
-0.037247,-0.41118,0.010282,0,0,0,0.026454,0.12419,0.020959,-0.13525,1,0.30276
-0.036368,-0.40937,0.010502,0,0,0,0.026204,0.12369,0.021042,-0.13413,1,0.30624
-0.035489,-0.40756,0.010723,0,0,0,0.025954,0.12318,0.021125,-0.13301,1,0.30972
-0.034449,-0.40555,0.010988,0,0,0,0.025667,0.12262,0.021219,-0.13177,1,0.3132
-0.033292,-0.40341,0.011275,0,0,0,0.025347,0.12201,0.021319,-0.13045,1,0.31668
-0.03064,-0.39719,0.010961,0,0,0,0.024583,0.12032,0.021597,-0.12687,1,0.32016
-0.027993,-0.39098,0.010648,0,0,0,0.023821,0.11863,0.021874,-0.1233,1,0.32364
-0.025347,-0.38476,0.010336,0,0,0,0.02306,0.11694,0.022151,-0.11973,1,0.32712
-0.0227,-0.37855,0.010024,0,0,0,0.022298,0.11525,0.022428,-0.11616,1,0.3306
-0.020279,-0.37275,0.0097352,0,0,0,0.021601,0.11368,0.022694,-0.11286,1,0.33408
-0.018683,-0.36843,0.0095305,0,0,0,0.02114,0.11254,0.022918,-0.11056,1,0.33756
-0.017087,-0.36411,0.0093258,0,0,0,0.020679,0.11139,0.023143,-0.10825,1,0.34104
-0.01549,-0.35979,0.0091211,0,0,0,0.020218,0.11025,0.023367,-0.10594,1,0.34452
-0.013894,-0.35547,0.0089164,0,0,0,0.019758,0.1091,0.023592,-0.10364,1,0.348
