"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
-0.11684,-0.8306,0.016025,0,0,0,0.070551,0.22787,0.0095321,-0.47043,1,0.21924
-0.10514,-0.80895,0.015383,0,0,0,0.067149,0.22193,0.0097683,-0.44754,1,0.22272
-0.094186,-0.78797,0.014768,0,0,0,0.063938,0.21623,0.010005,-0.42583,1,0.2262
-0.084652,-0.76826,0.014204,0,0,0,0.06109,0.21095,0.010242,-0.40637,1,0.22968
-0.075118,-0.74855,0.013639,0,0,0,0.058241,0.20568,0.010479,-0.38691,1,0.23316
-0.067209,-0.73047,0.013139,0,0,0,0.055809,0.20094,0.010716,-0.37017,1,0.23664
-0.059386,-0.71249,0.012642,0,0,0,0.053398,0.19622,0.010953,-0.35357,1,0.24012
-0.05232,-0.69537,0.012177,0,0,0,0.051183,0.19177,0.011191,-0.33827,1,0.2436
-0.045862,-0.67895,0.011737,0,0,0,0.049123,0.18754,0.01143,-0.324,1,0.24708
-0.039582,-0.66275,0.011305,0,0,0,0.047109,0.18337,0.011669,-0.31005,1,0.25056
-0.03423,-0.64773,0.010915,0,0,0,0.045336,0.17955,0.01191,-0.29771,1,0.25404
-0.028878,-0.63271,0.010524,0,0,0,0.043562,0.17573,0.012152,-0.28538,1,0.25752
-0.024217,-0.61866,0.010166,0,0,0,0.04197,0.17219,0.012395,-0.27428,1,0.261
-0.019768,-0.60491,0.0098181,0,0,0,0.040432,0.16874,0.012639,-0.26356,1,0.26448
-0.015594,-0.59157,0.0094833,0,0,0,0.038967,0.1654,0.012885,-0.25333,1,0.26796
-0.011886,-0.57895,0.0091712,0,0,0,0.037625,0.16226,0.013133,-0.24395,1,0.27144
-0.0081771,-0.56632,0.0088591,0,0,0,0.036283,0.15912,0.013381,-0.23457,1,0.27492
-0.0050673,-0.5547,0.0085784,0,0,0,0.035102,0.15625,0.013634,-0.22633,1,0.2784
-0.0019717,-0.5431,0.0082984,0,0,0,0.033925,0.15339,0.013887,-0.21812,1,0.28188
0.00083081,-0.53204,0.0080369,0,0,0,0.032828,0.15067,0.01413,-0.21051,1,0.28536
0.0034231,-0.52137,0.0077888,0,0,0,0.031789,0.14805,0.014367,-0.20333,1,0.28884
0.006127,-0.50969,0.0078888,0,0,0,0.030669,0.1452,0.014649,-0.19554,1,0.29232
0.0093143,-0.49368,0.0094957,0,0,0,0.029197,0.14132,0.015127,-0.18513,1,0.2958
0.012502,-0.47767,0.011103,0,0,0,0.027726,0.13745,0.015604,-0.17473,1,0.29928
0.014377,-0.46981,0.011934,0,0,0,0.027024,0.13556,0.015863,-0.16974,1,0.30276
0.01515,-0.46652,0.01206,0,0,0,0.026736,0.13477,0.015966,-0.16769,1,0.30624
0.015923,-0.46324,0.012186,0,0,0,0.026448,0.13397,0.016068,-0.16563,1,0.30972
0.016696,-0.45996,0.012312,0,0,0,0.02616,0.13318,0.016171,-0.16357,1,0.3132
0.017469,-0.45668,0.012439,0,0,0,0.025873,0.13239,0.016274,-0.16152,1,0.31668
0.018962,-0.44709,0.012038,0,0,0,0.025079,0.13008,0.016599,-0.15584,1,0.32016
0.020453,-0.43753,0.011639,0,0,0,0.024288,0.12777,0.016924,-0.15017,1,0.32364
0.021944,-0.42796,0.01124,0,0,0,0.023496,0.12547,0.01725,-0.1445,1,0.32712
0.023435,-0.4184,0.010841,0,0,0,0.022704,0.12317,0.017575,-0.13883,1,0.3306
0.024768,-0.40949,0.010472,0,0,0,0.021975,0.12102,0.017887,-0.13362,1,0.33408
0.025525,-0.40299,0.010211,0,0,0,0.021476,0.11947,0.018152,-0.13006,1,0.33756
0.026282,-0.39649,0.00995,0,0,0,0.020977,0.11792,0.018417,-0.12651,1,0.34104
0.027039,-0.38998,0.0096889,0,0,0,0.020478,0.11637,0.018682,-0.12295,1,0.34452
0.027796,-0.38348,0.0094278,0,0,0,0.019979,0.11481,0.018947,-0.1194,1,0.348
