U_Magnitude
nan
nan
nan
nan
nan
nan
nan
3.99775
4.93302
6.30355
6.92493
7.04028
7.25036
7.44349
7.54756
7.63693
7.7179
7.79983
7.88285
7.96992
8.05835
8.14805
8.23978
8.33309
8.42573
8.51881
8.61195
8.70455
8.79744
8.88885
8.98008
9.07098
9.15999
9.24896
9.33652
9.42302
9.5089
9.59299
9.67693
9.75922
9.84076
9.9224
10.0015
10.0808
10.1593
10.2364
10.3134
10.3887
10.4635
10.5371
10.6093
10.6817
10.7519
10.8228
10.8944
10.9666
11.0401
11.1146
11.1886
11.263
11.3386
11.4163
11.4965
11.5806
11.6683
11.7609
11.8565
11.9554
12.0531
12.151
12.2394
12.3211
12.3944
12.4485
12.4953
12.5184
12.5234
12.5141
12.4593
12.3825
12.2492
12.0513
11.8189
11.4464
11.0201
10.4859
9.80819
9.07792
8.16278
7.25769
6.34929
5.51311
4.77389
4.20775
3.79617
3.54445
3.52823
3.6814
4.03167
4.4058
4.77481
