"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
8.9393,0.091084,0.035089,0,0,0,85.91,6.4228,0.089879,0.3155,1,0
8.9295,0.096708,0.048043,0,0,0,86.015,6.4295,0.089283,0.31141,1,0.00348
8.9196,0.10233,0.060997,0,0,0,86.12,6.4363,0.088687,0.30731,1,0.00696
8.9098,0.10796,0.073951,0,0,0,86.224,6.4431,0.088091,0.30321,1,0.01044
8.8999,0.11358,0.086905,0,0,0,86.329,6.4499,0.087496,0.29912,1,0.01392
8.8857,0.12027,0.10243,0,0,0,86.475,6.4595,0.086721,0.29369,1,0.0174
8.855,0.13097,0.12755,0,0,0,86.775,6.4796,0.085278,0.2833,1,0.02088
8.8244,0.14167,0.15268,0,0,0,87.075,6.4998,0.083835,0.27291,1,0.02436
8.7937,0.15237,0.17781,0,0,0,87.376,6.5199,0.082392,0.26252,1,0.02784
8.763,0.16306,0.20294,0,0,0,87.676,6.5401,0.080949,0.25213,1,0.03132
8.7226,0.17313,0.22715,0,0,0,88.03,6.5649,0.079418,0.24078,1,0.0348
8.6688,0.18232,0.2501,0,0,0,88.459,6.596,0.077767,0.22812,1,0.03828
8.615,0.19151,0.27305,0,0,0,88.887,6.6271,0.076115,0.21546,1,0.04176
8.5612,0.2007,0.29599,0,0,0,89.316,6.6583,0.074464,0.20279,1,0.04524
8.5073,0.20989,0.31894,0,0,0,89.744,6.6894,0.072812,0.19013,1,0.04872
8.4381,0.21764,0.33974,0,0,0,90.158,6.723,0.071305,0.1782,1,0.0522
8.36,0.22456,0.35931,0,0,0,90.564,6.7581,0.069882,0.1667,1,0.05568
8.2818,0.23148,0.37887,0,0,0,90.97,6.7931,0.068458,0.15519,1,0.05916
8.2036,0.2384,0.39843,0,0,0,91.376,6.8281,0.067035,0.14369,1,0.06264
8.1254,0.24532,0.41799,0,0,0,91.781,6.8632,0.065612,0.13219,1,0.06612
8.0284,0.24987,0.43392,0,0,0,91.991,6.8918,0.064509,0.12311,1,0.0696
7.9278,0.25398,0.44917,0,0,0,92.165,6.9191,0.063467,0.11448,1,0.07308
7.8271,0.25809,0.46442,0,0,0,92.338,6.9465,0.062425,0.10585,1,0.07656
7.7265,0.26221,0.47967,0,0,0,92.512,6.9739,0.061382,0.097217,1,0.08004
7.625,0.26616,0.49467,0,0,0,92.663,7.0002,0.060358,0.088747,1,0.08352
7.5071,0.26732,0.50522,0,0,0,92.423,7.0075,0.059648,0.083086,1,0.087
7.3892,0.26849,0.51578,0,0,0,92.182,7.0148,0.058938,0.077426,1,0.09048
7.2713,0.26966,0.52633,0,0,0,91.941,7.0221,0.058229,0.071765,1,0.09396
7.1534,0.27082,0.53688,0,0,0,91.7,7.0294,0.057519,0.066105,1,0.09744
7.0327,0.27127,0.54624,0,0,0,91.323,7.0293,0.056866,0.061004,1,0.10092
6.9042,0.26971,0.55226,0,0,0,90.565,7.0084,0.056369,0.057462,1,0.1044
6.7757,0.26815,0.55829,0,0,0,89.807,6.9874,0.055872,0.053919,1,0.10788
6.6472,0.26659,0.56431,0,0,0,89.049,6.9665,0.055375,0.050377,1,0.11136
6.5186,0.26503,0.57034,0,0,0,88.291,6.9456,0.054878,0.046834,1,0.11484
6.388,0.26236,0.57446,0,0,0,87.294,6.9098,0.05442,0.04381,1,0.11832
6.2551,0.25847,0.57649,0,0,0,86.034,6.8576,0.054007,0.041358,1,0.1218
6.1222,0.25459,0.57851,0,0,0,84.773,6.8055,0.053594,0.038906,1,0.12528
5.9893,0.2507,0.58054,0,0,0,83.512,6.7533,0.053181,0.036455,1,0.12876
5.8564,0.24681,0.58256,0,0,0,82.251,6.7012,0.052768,0.034003,1,0.13224
5.7238,0.24162,0.58229,0,0,0,80.727,6.6292,0.052348,0.031777,1,0.13572
5.5912,0.23583,0.58097,0,0,0,79.082,6.5483,0.051924,0.029654,1,0.1392
5.4587,0.23004,0.57964,0,0,0,77.437,6.4673,0.0515,0.027532,1,0.14268
5.3262,0.22425,0.57832,0,0,0,75.791,6.3863,0.051076,0.025409,1,0.14616
5.1936,0.21846,0.577,0,0,0,74.146,6.3053,0.050652,0.023286,1,0.14964
5.0644,0.21131,0.57324,0,0,0,72.286,6.204,0.050181,0.021104,1,0.15312
4.9355,0.20402,0.56921,0,0,0,70.401,6.1004,0.049703,0.018915,1,0.1566
4.8066,0.19672,0.56518,0,0,0,68.516,5.9968,0.049226,0.016726,1,0.16008
4.6776,0.18942,0.56115,0,0,0,66.631,5.8932,0.048749,0.014537,1,0.16356
4.5494,0.182,0.55689,0,0,0,64.736,5.7879,0.048264,0.012328,1,0.16704
4.4262,0.17355,0.55072,0,0,0,62.752,5.6684,0.047715,0.0099467,1,0.17052
4.3031,0.1651,0.54455,0,0,0,60.769,5.5489,0.047165,0.0075659,1,0.174
