"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
9.5127,0.10557,0.04664,0,0,0,96.973,6.6891,0.084152,0.21222,1,1.02
9.4124,0.10547,0.045604,0,0,0,95.145,6.6498,0.085126,0.24013,1,1.035
9.2801,0.10128,0.042405,0,0,0,92.652,6.5942,0.086482,0.28571,1,1.05
9.1766,0.0981,0.040067,0,0,0,90.626,6.545,0.087542,0.2939,1,1.065
9.0741,0.095018,0.037846,0,0,0,88.601,6.494,0.088568,0.30294,1,1.08
8.9723,0.09202,0.035727,0,0,0,86.577,6.4413,0.089565,0.31271,1,1.095
8.8733,0.089211,0.033813,0,0,0,84.576,6.3857,0.090507,0.32108,1,1.11
8.7753,0.086477,0.031978,0,0,0,82.584,6.3289,0.091425,0.32848,1,1.125
8.6785,0.083831,0.030239,0,0,0,80.603,6.2705,0.092314,0.33469,1,1.14
8.5842,0.081336,0.028651,0,0,0,78.656,6.2102,0.093152,0.33941,1,1.155
8.491,0.078906,0.027128,0,0,0,76.723,6.1489,0.093966,0.34349,1,1.17
8.3991,0.076569,0.025698,0,0,0,74.812,6.0862,0.094748,0.34663,1,1.185
8.3095,0.074348,0.024375,0,0,0,72.939,6.0225,0.095487,0.34875,1,1.2
8.221,0.072186,0.023106,0,0,0,71.086,5.9581,0.096203,0.35037,1,1.215
8.1341,0.07012,0.021926,0,0,0,69.266,5.8925,0.096882,0.35113,1,1.23
8.0491,0.068139,0.020819,0,0,0,67.483,5.8265,0.097528,0.35127,1,1.245
7.9651,0.06621,0.019757,0,0,0,65.723,5.7601,0.098153,0.35101,1,1.26
7.8832,0.064381,0.018782,0,0,0,64.008,5.6928,0.098736,0.35001,1,1.275
7.8025,0.062608,0.017851,0,0,0,62.323,5.6255,0.099296,0.34867,1,1.29
7.7232,0.060892,0.016966,0,0,0,60.669,5.558,0.099832,0.34698,1,1.305
7.6457,0.059262,0.01615,0,0,0,59.061,5.4902,0.10033,0.34477,1,1.32
7.5692,0.057672,0.015364,0,0,0,57.479,5.4224,0.10081,0.34236,1,1.335
7.4944,0.056149,0.014628,0,0,0,55.939,5.3547,0.10127,0.33964,1,1.35
7.4211,0.054685,0.013936,0,0,0,54.438,5.2871,0.10169,0.33662,1,1.365
7.3486,0.053256,0.01327,0,0,0,52.959,5.2195,0.1021,0.33347,1,1.38
7.2781,0.051901,0.012656,0,0,0,51.535,5.1525,0.10248,0.33005,1,1.395
7.2086,0.050584,0.012068,0,0,0,50.139,5.0856,0.10284,0.32649,1,1.41
7.14,0.049301,0.011504,0,0,0,48.767,5.0188,0.10318,0.32282,1,1.425
7.0735,0.048087,0.010985,0,0,0,47.452,4.9529,0.10349,0.31898,1,1.44
7.0077,0.046898,0.010483,0,0,0,46.158,4.8872,0.10379,0.31509,1,1.455
6.9431,0.045753,0.01001,0,0,0,44.899,4.822,0.10407,0.31109,1,1.47
6.8799,0.044654,0.0095638,0,0,0,43.681,4.7574,0.10433,0.30703,1,1.485
6.8175,0.043578,0.0091328,0,0,0,42.483,4.6933,0.10457,0.30295,1,1.5
