"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
12.245,0.48992,0.58616,0,0,0,230.61,8.266,0.015571,-11.741,1,0
12.372,0.46231,0.76797,0,0,0,226.33,8.3561,0.016246,-11.509,1,0.00348
12.498,0.43471,0.94977,0,0,0,222.06,8.4463,0.01692,-11.276,1,0.00696
12.716,0.39546,1.1993,0,0,0,212.57,8.5568,0.018253,-10.839,1,0.01044
12.994,0.3486,1.493,0,0,0,199.68,8.6806,0.020015,-10.267,1,0.01392
13.267,0.30606,1.7636,0,0,0,186.19,8.7768,0.021896,-9.6764,1,0.0174
13.526,0.27964,1.9478,0,0,0,170.46,8.7695,0.024222,-9.0128,1,0.02088
13.785,0.25323,2.132,0,0,0,154.73,8.7622,0.026548,-8.3491,1,0.02436
13.977,0.24153,2.2634,0,0,0,142.88,8.6705,0.028898,-7.702,1,0.02784
14.154,0.23315,2.3829,0,0,0,131.91,8.5598,0.031254,-7.0585,1,0.03132
14.295,0.22945,2.4903,0,0,0,124.22,8.4446,0.033319,-6.4364,1,0.0348
14.388,0.2322,2.5809,0,0,0,121.05,8.3233,0.034985,-5.8436,1,0.03828
14.479,0.23513,2.6711,0,0,0,118.12,8.2036,0.036622,-5.252,1,0.04176
14.494,0.24459,2.7437,0,0,0,123.86,8.1419,0.037226,-4.7042,1,0.04524
14.51,0.25405,2.8163,0,0,0,129.61,8.0803,0.037831,-4.1565,1,0.04872
14.476,0.26611,2.8785,0,0,0,142.45,8.0924,0.037404,-3.641,1,0.0522
14.413,0.27966,2.9346,0,0,0,159.41,8.1473,0.036378,-3.1444,1,0.05568
14.322,0.29407,2.983,0,0,0,181.04,8.2517,0.034866,-2.6643,1,0.05916
14.141,0.31119,3.0068,0,0,0,217.61,8.5146,0.031795,-2.2372,1,0.06264
13.959,0.32831,3.0305,0,0,0,254.19,8.7776,0.028723,-1.8101,1,0.06612
13.596,0.34592,3.0016,0,0,0,319.22,9.3094,0.025554,-1.4625,1,0.0696
13.199,0.36362,2.9629,0,0,0,389.56,9.8913,0.022366,-1.1297,1,0.07308
12.667,0.37601,2.8888,0,0,0,468.92,10.547,0.019943,-0.84957,1,0.07656
11.969,0.38187,2.771,0,0,0,559.39,11.293,0.018461,-0.63421,1,0.08004
11.26,0.38629,2.6505,0,0,0,647.67,12.019,0.017038,-0.42499,1,0.08352
10.361,0.36536,2.4821,0,0,0,697.37,12.381,0.016673,-0.32416,1,0.087
9.4614,0.34444,2.3137,0,0,0,747.07,12.743,0.016307,-0.22333,1,0.09048
8.5577,0.3062,2.1381,0,0,0,748.19,12.65,0.016088,-0.16841,1,0.09396
7.6517,0.25899,1.9587,0,0,0,724.16,12.323,0.015946,-0.13726,1,0.09744
6.7737,0.20762,1.782,0,0,0,688.09,11.857,0.015739,-0.1168,1,0.10092
5.9736,0.14463,1.6123,0,0,0,618.54,11.007,0.015353,-0.12611,1,0.1044
5.1734,0.081638,1.4427,0,0,0,548.99,10.157,0.014968,-0.13542,1,0.10788
4.4951,0.014237,1.2873,0,0,0,472.53,9.1256,0.01429,-0.15614,1,0.11136
3.8349,-0.053824,1.1339,0,0,0,395.04,8.067,0.013569,-0.17856,1,0.11484
3.2361,-0.12121,0.98885,0,0,0,324.27,7.0202,0.012705,-0.2012,1,0.11832
2.705,-0.18784,0.85285,0,0,0,260.92,5.9865,0.011682,-0.22407,1,0.1218
2.1838,-0.25388,0.71848,0,0,0,199.15,4.9654,0.010646,-0.24659,1,0.12528
