"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
13.497,0.21279,0.20289,0,0,0,121.93,6.9645,0.041856,-4.7638,1,0
13.495,0.21455,0.28734,0,0,0,122.66,6.977,0.040946,-4.7302,1,0.00348
13.493,0.2163,0.37178,0,0,0,123.38,6.9895,0.040036,-4.6966,1,0.00696
13.486,0.2193,0.50326,0,0,0,125.14,7.0196,0.039059,-4.6228,1,0.01044
13.477,0.22311,0.66539,0,0,0,127.57,7.0613,0.038038,-4.5229,1,0.01392
13.465,0.22715,0.82413,0,0,0,130.42,7.1105,0.037259,-4.4105,1,0.0174
13.442,0.23207,0.97015,0,0,0,134.88,7.1879,0.037385,-4.2513,1,0.02088
13.419,0.23699,1.1162,0,0,0,139.35,7.2654,0.037512,-4.0921,1,0.02436
13.377,0.2434,1.2461,0,0,0,145.63,7.3764,0.037926,-3.8958,1,0.02784
13.332,0.25016,1.3724,0,0,0,152.33,7.495,0.038405,-3.6913,1,0.03132
13.274,0.25776,1.4898,0,0,0,160.08,7.6342,0.038815,-3.4744,1,0.0348
13.198,0.26653,1.5948,0,0,0,169.27,7.8016,0.039132,-3.2407,1,0.03828
13.121,0.27535,1.6992,0,0,0,178.55,7.9706,0.039438,-3.0066,1,0.04176
13.006,0.28585,1.7813,0,0,0,190.61,8.196,0.039317,-2.7604,1,0.04524
12.891,0.29636,1.8633,0,0,0,202.67,8.4213,0.039196,-2.5143,1,0.04872
12.743,0.30751,1.9289,0,0,0,216.72,8.687,0.038737,-2.2713,1,0.0522
12.577,0.31903,1.9851,0,0,0,231.93,8.9761,0.038082,-2.0303,1,0.05568
12.395,0.33046,2.0342,0,0,0,247.82,9.2786,0.037347,-1.7948,1,0.05916
12.164,0.34155,2.061,0,0,0,265.87,9.6239,0.036353,-1.5768,1,0.06264
11.933,0.35264,2.0878,0,0,0,283.92,9.9692,0.03536,-1.3588,1,0.06612
11.639,0.3613,2.0883,0,0,0,302.85,10.329,0.034391,-1.1725,1,0.0696
11.334,0.3695,2.0839,0,0,0,321.94,10.691,0.033426,-0.99224,1,0.07308
10.996,0.37506,2.0667,0,0,0,339.84,11.027,0.032577,-0.83202,1,0.07656
10.62,0.37737,2.0338,0,0,0,356.27,11.331,0.03187,-0.6965,1,0.08004
10.24,0.37925,1.9998,0,0,0,372.31,11.627,0.031177,-0.56329,1,0.08352
9.8119,0.37343,1.9455,0,0,0,381.5,11.787,0.030727,-0.47075,1,0.087
9.3836,0.36761,1.8911,0,0,0,390.69,11.948,0.030277,-0.37822,1,0.09048
8.9396,0.35611,1.8284,0,0,0,393.3,11.983,0.029921,-0.30889,1,0.09396
8.4874,0.34165,1.7613,0,0,0,392.51,11.953,0.029613,-0.25157,1,0.09744
8.0356,0.32519,1.6928,0,0,0,389.14,11.872,0.029306,-0.20108,1,0.10092
7.5851,0.30313,1.6202,0,0,0,378.58,11.65,0.028998,-0.16958,1,0.1044
7.1347,0.28108,1.5476,0,0,0,368.02,11.428,0.028691,-0.13809,1,0.10788
6.7013,0.25394,1.4742,0,0,0,351.14,11.068,0.02829,-0.12213,1,0.11136
6.2704,0.22605,1.4007,0,0,0,333.31,10.687,0.027875,-0.10849,1,0.11484
5.8537,0.19627,1.328,0,0,0,313.73,10.256,0.027389,-0.10035,1,0.11832
5.4527,0.16439,1.2561,0,0,0,292.2,9.7702,0.026825,-0.098282,1,0.1218
5.0544,0.13232,1.1844,0,0,0,270.61,9.2799,0.026249,-0.096757,1,0.12528
4.6881,0.098139,1.1154,0,0,0,248.4,8.7394,0.025528,-0.10144,1,0.12876
4.3218,0.063953,1.0464,0,0,0,226.19,8.1989,0.024806,-0.10612,1,0.13224
3.9806,0.029165,0.97988,0,0,0,204.92,7.6487,0.023982,-0.11316,1,0.13572
3.6508,-0.0058994,0.91443,0,0,0,184.09,7.0941,0.023111,-0.12128,1,0.1392
3.3316,-0.040878,0.85009,0,0,0,163.99,6.5441,0.022203,-0.12977,1,0.14268
3.038,-0.075649,0.78843,0,0,0,145.67,6.0053,0.021205,-0.13916,1,0.14616
2.7445,-0.11042,0.72678,0,0,0,127.36,5.4666,0.020206,-0.14855,1,0.14964
2.4826,-0.14404,0.66871,0,0,0,111.71,4.9612,0.019123,-0.15785,1,0.15312
2.2244,-0.17753,0.61105,0,0,0,96.379,4.4597,0.01803,-0.16715,1,0.1566
1.9833,-0.20993,0.55554,0,0,0,82.577,3.984,0.016909,-0.17599,1,0.16008
1.7592,-0.24126,0.50214,0,0,0,70.297,3.534,0.01576,-0.18437,1,0.16356
1.5387,-0.27226,0.44925,0,0,0,58.328,3.0905,0.01461,-0.19261,1,0.16704
1.3479,-0.30058,0.40057,0,0,0,48.952,2.7017,0.013452,-0.19959,1,0.17052
1.1572,-0.32889,0.35188,0,0,0,39.576,2.3129,0.012294,-0.20658,1,0.174
0.99047,-0.35437,0.30717,0,0,0,32.076,1.9729,0.011173,-0.21236,1,0.17748
0.83336,-0.3787,0.26406,0,0,0,25.334,1.6527,0.010069,-0.21764,1,0.18096
0.6875,-0.40134,0.2232,0,0,0,19.331,1.3564,0.0090102,-0.22222,1,0.18444
0.56576,-0.42035,0.18716,0,0,0,14.916,1.1116,0.0080508,-0.22527,1,0.18792
0.44401,-0.43937,0.15113,0,0,0,10.5,0.86677,0.0070914,-0.22831,1,0.1914
0.35783,-0.45141,0.12383,0,0,0,7.8938,0.69862,0.0064254,-0.2279,1,0.19488
0.27461,-0.46287,0.097263,0,0,0,5.4378,0.53685,0.0057836,-0.22719,1,0.19836
0.21096,-0.46988,0.076366,0,0,0,3.7033,0.41583,0.0054254,-0.22469,1,0.20184
0.16476,-0.47292,0.060524,0,0,0,2.612,0.33113,0.0053199,-0.22058,1,0.20532
0.12195,-0.4752,0.045783,0,0,0,1.613,0.25306,0.0052931,-0.21627,1,0.2088
0.10108,-0.47254,0.038152,0,0,0,1.2098,0.21771,0.0057745,-0.21065,1,0.21228
0.080198,-0.46988,0.030521,0,0,0,0.80652,0.18235,0.0062559,-0.20503,1,0.21576
0.068093,-0.46558,0.026008,0,0,0,0.59546,0.16295,0.0069723,-0.199,1,0.21924
