"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
13.565,0.23641,0.23458,0,0,0,125.12,7.1577,0.030951,-5.6839,1,0
13.569,0.23625,0.32933,0,0,0,125.63,7.1676,0.030575,-5.6377,1,0.00348
13.573,0.23608,0.42408,0,0,0,126.15,7.1774,0.030199,-5.5914,1,0.00696
13.579,0.23621,0.57035,0,0,0,127.45,7.201,0.030067,-5.4924,1,0.01044
13.586,0.23653,0.75021,0,0,0,129.27,7.2334,0.030095,-5.359,1,0.01392
13.591,0.23729,0.9255,0,0,0,131.48,7.272,0.030368,-5.2105,1,0.0174
13.589,0.23972,1.0837,0,0,0,135.18,7.3334,0.031557,-5.0056,1,0.02088
13.586,0.24214,1.2418,0,0,0,138.87,7.3948,0.032746,-4.8007,1,0.02436
13.565,0.24709,1.3805,0,0,0,144.56,7.4861,0.034114,-4.5555,1,0.02784
13.541,0.25262,1.5149,0,0,0,150.7,7.5842,0.035523,-4.3013,1,0.03132
13.502,0.2594,1.6394,0,0,0,158.08,7.7023,0.036707,-4.0349,1,0.0348
13.445,0.26791,1.7505,0,0,0,167.17,7.848,0.037584,-3.7517,1,0.03828
13.387,0.27649,1.8609,0,0,0,176.36,7.9953,0.03844,-3.4681,1,0.04176
13.288,0.28735,1.9478,0,0,0,189.05,8.203,0.038517,-3.173,1,0.04524
13.188,0.29821,2.0347,0,0,0,201.73,8.4107,0.038594,-2.8779,1,0.04872
13.053,0.31003,2.1042,0,0,0,217.18,8.667,0.038148,-2.5875,1,0.0522
12.897,0.32241,2.1634,0,0,0,234.22,8.9515,0.037398,-2.2998,1,0.05568
12.724,0.33476,2.2148,0,0,0,252.36,9.2548,0.036524,-2.019,1,0.05916
12.492,0.34705,2.241,0,0,0,274.04,9.6186,0.035253,-1.7602,1,0.06264
12.26,0.35934,2.2671,0,0,0,295.71,9.9824,0.033982,-1.5014,1,0.06612
11.951,0.369,2.262,0,0,0,319.76,10.381,0.032743,-1.283,1,0.0696
11.626,0.37817,2.251,0,0,0,344.25,10.787,0.03151,-1.0721,1,0.07308
11.261,0.38417,2.2246,0,0,0,367.65,11.168,0.030449,-0.88677,1,0.07656
10.846,0.38624,2.1792,0,0,0,389.71,11.52,0.029602,-0.73282,1,0.08004
10.426,0.38778,2.1325,0,0,0,411.25,11.862,0.028773,-0.58171,1,0.08352
9.9456,0.37982,2.0623,0,0,0,423.58,12.041,0.02829,-0.48088,1,0.087
9.4647,0.37186,1.9921,0,0,0,435.9,12.22,0.027807,-0.38005,1,0.09048
8.9665,0.35705,1.9133,0,0,0,439.04,12.245,0.027447,-0.30675,1,0.09396
8.4593,0.3387,1.8302,0,0,0,437.43,12.19,0.02715,-0.24771,1,0.09744
7.9542,0.31806,1.7459,0,0,0,432.36,12.073,0.026851,-0.19641,1,0.10092
7.4549,0.29107,1.6589,0,0,0,417.68,11.786,0.026546,-0.16666,1,0.1044
6.9555,0.26407,1.5719,0,0,0,403,11.499,0.026242,-0.13692,1,0.10788
6.4817,0.23171,1.4859,0,0,0,380.63,11.056,0.025818,-0.12391,1,0.11136
6.0117,0.19854,1.4002,0,0,0,357.11,10.589,0.025377,-0.11341,1,0.11484
5.5607,0.16357,1.3162,0,0,0,331.9,10.072,0.024854,-0.10847,1,0.11832
5.1306,0.12661,1.2342,0,0,0,304.84,9.4996,0.02424,-0.10966,1,0.1218
4.7041,0.089503,1.1525,0,0,0,277.8,8.9237,0.023612,-0.11135,1,0.12528
4.3181,0.050777,1.0751,0,0,0,251.14,8.3081,0.022822,-0.11875,1,0.12876
3.9322,0.01205,0.99777,0,0,0,224.49,7.6926,0.022033,-0.12615,1,0.13224
3.5769,-0.026752,0.92389,0,0,0,199.73,7.0796,0.021136,-0.13536,1,0.13572
3.2357,-0.065587,0.8516,0,0,0,175.84,6.4678,0.02019,-0.14539,1,0.1392
2.9071,-0.10407,0.78082,0,0,0,153.07,5.8665,0.019207,-0.15556,1,0.14268
2.6092,-0.14169,0.71373,0,0,0,133.02,5.2909,0.018137,-0.16604,1,0.14616
2.3113,-0.1793,0.64663,0,0,0,112.97,4.7153,0.017066,-0.17653,1,0.14964
2.0507,-0.2148,0.5844,0,0,0,96.583,4.1916,0.015925,-0.18626,1,0.15312
1.7945,-0.25006,0.52272,0,0,0,80.619,3.6739,0.014775,-0.1959,1,0.1566
1.5586,-0.2836,0.464,0,0,0,66.627,3.1924,0.013613,-0.20477,1,0.16008
