"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
12.018,0.11534,0.083956,0,0,0,125.12,6.8152,0.057531,-1.0977,1,0
12.008,0.12172,0.12503,0,0,0,125.63,6.8315,0.056964,-1.0954,1,0.00348
11.998,0.1281,0.1661,0,0,0,126.15,6.8478,0.056396,-1.0931,1,0.00696
11.974,0.13819,0.23102,0,0,0,127.3,6.8848,0.05548,-1.0864,1,0.01044
11.942,0.15071,0.31148,0,0,0,128.87,6.9352,0.054337,-1.0768,1,0.01392
11.904,0.1631,0.391,0,0,0,130.66,6.9932,0.053224,-1.0647,1,0.0174
11.848,0.17504,0.46695,0,0,0,133.3,7.0793,0.052225,-1.0439,1,0.02088
11.791,0.18698,0.5429,0,0,0,135.94,7.1654,0.051226,-1.023,1,0.02436
11.714,0.19833,0.61334,0,0,0,139.36,7.2794,0.050432,-0.99262,1,0.02784
11.632,0.20954,0.68254,0,0,0,142.96,7.3997,0.049684,-0.96015,1,0.03132
11.539,0.2204,0.7481,0,0,0,146.89,7.5324,0.049,-0.92382,1,0.0348
11.431,0.23077,0.80866,0,0,0,151.26,7.682,0.048403,-0.88218,1,0.03828
11.322,0.24112,0.86894,0,0,0,155.64,7.8322,0.047808,-0.84038,1,0.04176
11.187,0.2505,0.91941,0,0,0,160.51,8.0031,0.047298,-0.79277,1,0.04524
11.052,0.25988,0.96987,0,0,0,165.37,8.174,0.046788,-0.74516,1,0.04872
10.9,0.26848,1.0134,0,0,0,170.32,8.3511,0.046325,-0.69594,1,0.0522
10.739,0.27663,1.0528,0,0,0,175.31,8.5319,0.045887,-0.6458,1,0.05568
10.571,0.2844,1.0896,0,0,0,180.23,8.7115,0.045468,-0.59586,1,0.05916
10.385,0.29096,1.1178,0,0,0,184.9,8.8875,0.045108,-0.54657,1,0.06264
10.198,0.29752,1.146,0,0,0,189.57,9.0635,0.044748,-0.49729,1,0.06612
9.9922,0.30239,1.165,0,0,0,193.56,9.2214,0.044452,-0.45118,1,0.0696
9.783,0.30695,1.1822,0,0,0,197.43,9.376,0.044169,-0.40566,1,0.07308
9.5655,0.31043,1.195,0,0,0,200.73,9.5137,0.043913,-0.36275,1,0.07656
9.3379,0.31258,1.2022,0,0,0,203.33,9.6306,0.043692,-0.32305,1,0.08004
9.1095,0.31459,1.209,0,0,0,205.85,9.7448,0.043473,-0.28371,1,0.08352
8.8682,0.31404,1.2076,0,0,0,206.86,9.8109,0.043286,-0.25091,1,0.087
8.627,0.31348,1.2061,0,0,0,207.86,9.877,0.043099,-0.21812,1,0.09048
8.3802,0.31103,1.1999,0,0,0,207.72,9.9045,0.042913,-0.19003,1,0.09396
8.1305,0.3076,1.1912,0,0,0,206.99,9.9119,0.042727,-0.16439,1,0.09744
7.88,0.30341,1.181,0,0,0,205.8,9.9032,0.042533,-0.14052,1,0.10092
7.6269,0.29711,1.1665,0,0,0,203.34,9.8496,0.042318,-0.12161,1,0.1044
7.3738,0.29081,1.152,0,0,0,200.87,9.796,0.042102,-0.1027,1,0.10788
7.1215,0.28215,1.1337,0,0,0,197.02,9.6908,0.041834,-0.088956,1,0.11136
6.8694,0.27313,1.1148,0,0,0,192.97,9.5778,0.041557,-0.075988,1,0.11484
6.6193,0.26293,1.0943,0,0,0,188.31,9.4396,0.041241,-0.065406,1,0.11832
6.3714,0.25144,1.072,0,0,0,182.99,9.2734,0.04088,-0.057462,1,0.1218
6.1242,0.23978,1.0496,0,0,0,177.59,9.1038,0.040511,-0.049844,1,0.12528
5.8834,0.22613,1.0249,0,0,0,171.33,8.8937,0.040057,-0.045958,1,0.12876
5.6427,0.21248,1.0002,0,0,0,165.08,8.6836,0.039604,-0.042071,1,0.13224
5.4082,0.1976,0.97434,0,0,0,158.43,8.4501,0.039085,-0.040341,1,0.13572
5.1765,0.18215,0.94795,0,0,0,151.6,8.2058,0.038536,-0.039598,1,0.1392
4.9479,0.16628,0.92122,0,0,0,144.69,7.9544,0.03796,-0.039533,1,0.14268
4.7268,0.14939,0.89368,0,0,0,137.6,7.6858,0.037318,-0.041121,1,0.14616
4.5056,0.1325,0.86615,0,0,0,130.51,7.4171,0.036676,-0.04271,1,0.14964
4.2948,0.11465,0.83801,0,0,0,123.43,7.135,0.035956,-0.045764,1,0.15312
4.0852,0.096685,0.8098,0,0,0,116.36,6.8512,0.035227,-0.048987,1,0.1566
3.8816,0.078352,0.78144,0,0,0,109.4,6.564,0.034459,-0.052751,1,0.16008
3.6841,0.059654,0.75292,0,0,0,102.57,6.2735,0.033651,-0.057051,1,0.16356
3.488,0.040912,0.7244,0,0,0,95.779,5.983,0.032836,-0.061418,1,0.16704
3.3029,0.021798,0.69586,0,0,0,89.35,5.6927,0.031959,-0.066352,1,0.17052
3.1179,0.0026851,0.66732,0,0,0,82.922,5.4024,0.031082,-0.071286,1,0.174
2.9418,-0.016512,0.63894,0,0,0,76.866,5.1167,0.030164,-0.076419,1,0.17748
2.7694,-0.035742,0.61063,0,0,0,70.961,4.8327,0.02923,-0.081631,1,0.18096
2.601,-0.054921,0.58246,0,0,0,65.245,4.5523,0.02828,-0.086845,1,0.18444
2.4413,-0.073992,0.55459,0,0,0,59.934,4.2795,0.0273,-0.092061,1,0.18792
2.2815,-0.093063,0.52673,0,0,0,54.622,4.0068,0.02632,-0.097276,1,0.1914
2.1334,-0.11175,0.49944,0,0,0,49.891,3.7478,0.025308,-0.1023,1,0.19488
1.9862,-0.13041,0.4722,0,0,0,45.208,3.4901,0.024294,-0.10732,1,0.19836
1.8456,-0.14872,0.44539,0,0,0,40.861,3.2418,0.02327,-0.11214,1,0.20184
1.7109,-0.16673,0.41897,0,0,0,36.813,3.002,0.022235,-0.11679,1,0.20532
1.5779,-0.18461,0.39268,0,0,0,32.848,2.7649,0.021199,-0.12138,1,0.2088
1.4556,-0.20172,0.36727,0,0,0,29.42,2.5453,0.020158,-0.12555,1,0.21228
1.3332,-0.21883,0.34186,0,0,0,25.992,2.3258,0.019117,-0.12973,1,0.21576
1.22,-0.2351,0.31734,0,0,0,22.998,2.1224,0.018083,-0.13349,1,0.21924
1.1101,-0.25108,0.29314,0,0,0,20.158,1.9247,0.017052,-0.13711,1,0.22272
1.0044,-0.26658,0.26945,0,0,0,17.506,1.735,0.016031,-0.1405,1,0.2262
0.90686,-0.28116,0.24673,0,0,0,15.214,1.5605,0.015031,-0.14349,1,0.22968
0.80933,-0.29574,0.22401,0,0,0,12.921,1.3861,0.014031,-0.14648,1,0.23316
0.72395,-0.30869,0.20302,0,0,0,11.106,1.2349,0.013087,-0.1488,1,0.23664
0.6392,-0.32155,0.18211,0,0,0,9.3161,1.085,0.012147,-0.15109,1,0.24012
0.56189,-0.33325,0.16247,0,0,0,7.778,0.94942,0.011262,-0.15294,1,0.2436
0.49054,-0.34401,0.14384,0,0,0,6.4416,0.8253,0.010422,-0.15444,1,0.24708
0.42149,-0.35434,0.12567,0,0,0,5.1699,0.70553,0.0096075,-0.15577,1,0.25056
0.36443,-0.3625,0.1099,0,0,0,4.2353,0.60851,0.0089274,-0.1563,1,0.25404
0.30737,-0.37066,0.094136,0,0,0,3.3008,0.51149,0.0082472,-0.15683,1,0.25752
0.26178,-0.37644,0.081032,0,0,0,2.6268,0.43559,0.0077516,-0.15646,1,0.261
0.21969,-0.38149,0.068741,0,0,0,2.0323,0.36612,0.0073123,-0.15582,1,0.26448
0.18291,-0.38534,0.057838,0,0,0,1.5347,0.30606,0.0069945,-0.15474,1,0.26796
0.1551,-0.38715,0.049284,0,0,0,1.2009,0.26191,0.0068823,-0.1529,1,0.27144
0.1273,-0.38897,0.04073,0,0,0,0.86723,0.21777,0.0067701,-0.15106,1,0.27492
0.11063,-0.38819,0.03538,0,0,0,0.69726,0.19263,0.0070227,-0.14831,1,0.2784
0.094227,-0.38736,0.030105,0,0,0,0.53115,0.16794,0.0072838,-0.14554,1,0.28188
0.082045,-0.3856,0.026141,0,0,0,0.41586,0.15017,0.0077118,-0.1425,1,0.28536
0.072892,-0.38319,0.023117,0,0,0,0.33702,0.13738,0.0082595,-0.13926,1,0.28884
0.06413,-0.38036,0.020454,0,0,0,0.26377,0.12536,0.0088621,-0.13575,1,0.29232
0.057066,-0.37573,0.019353,0,0,0,0.21478,0.11671,0.0097028,-0.13104,1,0.2958
0.050003,-0.37109,0.018252,0,0,0,0.16579,0.10806,0.010544,-0.12633,1,0.29928
0.046085,-0.36768,0.017962,0,0,0,0.14081,0.10352,0.011085,-0.12317,1,0.30276
0.044251,-0.36589,0.017812,0,0,0,0.12968,0.10145,0.011365,-0.12158,1,0.30624
0.042957,-0.3644,0.01765,0,0,0,0.12207,0.10003,0.0116,-0.12033,1,0.30972
0.041992,-0.36301,0.017488,0,0,0,0.1167,0.099015,0.011818,-0.11923,1,0.3132
0.041027,-0.36162,0.017326,0,0,0,0.11132,0.098003,0.012036,-0.11813,1,0.31668
0.038849,-0.35717,0.016476,0,0,0,0.10072,0.095836,0.012711,-0.11498,1,0.32016
0.036676,-0.35274,0.015629,0,0,0,0.09013,0.093674,0.013384,-0.11184,1,0.32364
0.034502,-0.3483,0.014782,0,0,0,0.079544,0.091512,0.014057,-0.10869,1,0.32712
0.032328,-0.34387,0.013935,0,0,0,0.068957,0.089349,0.01473,-0.10555,1,0.3306
0.030403,-0.3397,0.013182,0,0,0,0.05984,0.087462,0.01536,-0.10264,1,0.33408
0.029389,-0.33652,0.012771,0,0,0,0.056097,0.086579,0.015833,-0.10058,1,0.33756
0.028374,-0.33334,0.01236,0,0,0,0.052354,0.085697,0.016306,-0.098514,1,0.34104
