"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
10.434,0.071442,0.038392,0,0,0,111.05,6.8819,0.075563,0.0040545,1,0
10.427,0.078234,0.061157,0,0,0,111.24,6.8904,0.075116,0.0012641,1,0.00348
10.419,0.085026,0.083922,0,0,0,111.42,6.899,0.07467,-0.0015263,1,0.00696
10.402,0.095797,0.12013,0,0,0,111.84,6.9181,0.073799,-0.0069562,1,0.01044
10.379,0.10916,0.16511,0,0,0,112.4,6.944,0.072653,-0.014107,1,0.01392
10.352,0.12241,0.20977,0,0,0,113.04,6.9737,0.071437,-0.021628,1,0.0174
10.312,0.13519,0.25324,0,0,0,113.96,7.0173,0.069964,-0.030539,1,0.02088
10.271,0.14798,0.29671,0,0,0,114.89,7.061,0.06849,-0.03945,1,0.02436
10.216,0.16008,0.33825,0,0,0,116.09,7.1184,0.066975,-0.047939,1,0.02784
10.158,0.17201,0.37937,0,0,0,117.36,7.179,0.065449,-0.056333,1,0.03132
10.092,0.18348,0.41913,0,0,0,118.73,7.2458,0.063965,-0.06392,1,0.0348
10.014,0.19429,0.45705,0,0,0,120.25,7.321,0.062536,-0.0704,1,0.03828
9.9362,0.20507,0.49485,0,0,0,121.77,7.3966,0.061112,-0.07681,1,0.04176
9.8393,0.21451,0.5288,0,0,0,123.44,7.4822,0.059861,-0.080641,1,0.04524
9.7425,0.22395,0.56274,0,0,0,125.11,7.5678,0.058611,-0.084472,1,0.04872
9.6337,0.2324,0.59378,0,0,0,126.77,7.6561,0.057501,-0.086484,1,0.0522
9.518,0.24027,0.62313,0,0,0,128.43,7.7459,0.056472,-0.087438,1,0.05568
9.3982,0.24773,0.6513,0,0,0,130.04,7.8348,0.055498,-0.087767,1,0.05916
9.2651,0.25388,0.67567,0,0,0,131.52,7.9211,0.054697,-0.086091,1,0.06264
9.132,0.26003,0.70004,0,0,0,132.99,8.0073,0.053897,-0.084414,1,0.06612
8.9862,0.26465,0.7201,0,0,0,134.17,8.0838,0.053267,-0.081041,1,0.0696
8.838,0.26899,0.73936,0,0,0,135.29,8.1585,0.052669,-0.077352,1,0.07308
8.6844,0.27251,0.75638,0,0,0,136.19,8.2247,0.052142,-0.073116,1,0.07656
8.524,0.27501,0.77063,0,0,0,136.82,8.2805,0.051702,-0.068209,1,0.08004
8.3632,0.27741,0.78464,0,0,0,137.41,8.3349,0.051268,-0.063278,1,0.08352
8.1936,0.27808,0.79419,0,0,0,137.44,8.3661,0.050934,-0.057941,1,0.087
8.0241,0.27874,0.80374,0,0,0,137.47,8.3972,0.0506,-0.052603,1,0.09048
7.8504,0.27823,0.81046,0,0,0,137.07,8.4098,0.050306,-0.047411,1,0.09396
7.6747,0.27712,0.81572,0,0,0,136.46,8.4127,0.050032,-0.042294,1,0.09744
7.4979,0.27555,0.81997,0,0,0,135.68,8.4077,0.049764,-0.037354,1,0.10092
7.3186,0.27272,0.82142,0,0,0,134.42,8.3809,0.049512,-0.032903,1,0.1044
7.1392,0.26989,0.82286,0,0,0,133.16,8.354,0.04926,-0.028453,1,0.10788
6.9587,0.26566,0.8214,0,0,0,131.37,8.3011,0.048996,-0.024813,1,0.11136
6.7781,0.26122,0.81951,0,0,0,129.5,8.2443,0.048731,-0.021296,1,0.11484
6.5977,0.25607,0.81625,0,0,0,127.38,8.1739,0.048447,-0.018285,1,0.11832
6.4176,0.25013,0.81148,0,0,0,124.99,8.0887,0.048144,-0.015836,1,0.1218
6.2377,0.24408,0.80652,0,0,0,122.56,8.0014,0.047836,-0.013475,1,0.12528
6.0598,0.23678,0.79929,0,0,0,119.72,7.8905,0.047481,-0.01212,1,0.12876
5.8818,0.22947,0.79206,0,0,0,116.89,7.7797,0.047126,-0.010764,1,0.13224
5.7062,0.22132,0.78341,0,0,0,113.83,7.6536,0.046731,-0.010119,1,0.13572
5.5316,0.21278,0.77411,0,0,0,110.65,7.5204,0.046317,-0.0097996,1,0.1392
5.3583,0.20393,0.7643,0,0,0,107.41,7.3818,0.045884,-0.0097506,1,0.14268
5.188,0.1943,0.75326,0,0,0,104,7.2299,0.045406,-0.010361,1,0.14616
5.0178,0.18467,0.74222,0,0,0,100.6,7.0781,0.044928,-0.010972,1,0.14964
4.8521,0.1742,0.72988,0,0,0,97.059,6.9128,0.044393,-0.012301,1,0.15312
4.687,0.16362,0.7174,0,0,0,93.507,6.746,0.043851,-0.013714,1,0.1566
4.5247,0.15265,0.70432,0,0,0,89.929,6.5736,0.043278,-0.01546,1,0.16008
4.3653,0.14128,0.69066,0,0,0,86.325,6.3956,0.042673,-0.017536,1,0.16356
4.2065,0.12985,0.6769,0,0,0,82.722,6.2167,0.042062,-0.019669,1,0.16704
4.0532,0.11782,0.66228,0,0,0,79.14,6.0309,0.041399,-0.02227,1,0.17052
3.8999,0.1058,0.64767,0,0,0,75.558,5.8452,0.040735,-0.024871,1,0.174
3.7512,0.093415,0.63252,0,0,0,72.039,5.6562,0.040032,-0.027751,1,0.17748
3.6044,0.080881,0.61716,0,0,0,68.546,5.466,0.039314,-0.030743,1,0.18096
3.4597,0.068227,0.60162,0,0,0,65.097,5.2753,0.03858,-0.033821,1,0.18444
3.3196,0.055317,0.58569,0,0,0,61.745,5.0836,0.037812,-0.03708,1,0.18792
3.1795,0.042408,0.56976,0,0,0,58.394,4.892,0.037045,-0.04034,1,0.1914
3.0457,0.029271,0.55345,0,0,0,55.21,4.7013,0.036238,-0.043747,1,0.19488
2.9125,0.016116,0.53711,0,0,0,52.041,4.5108,0.035427,-0.047165,1,0.19836
2.7829,0.0028974,0.52063,0,0,0,48.985,4.3221,0.034597,-0.050615,1,0.20184
2.6567,-0.010377,0.50402,0,0,0,46.029,4.1351,0.03375,-0.054094,1,0.20532
2.5314,-0.02365,0.4874,0,0,0,43.105,3.9488,0.032898,-0.057569,1,0.2088
2.4121,-0.036922,0.47066,0,0,0,40.383,3.7672,0.03202,-0.061023,1,0.21228
2.2929,-0.050193,0.45392,0,0,0,37.662,3.5856,0.031142,-0.064476,1,0.21576
2.1789,-0.063379,0.43717,0,0,0,35.123,3.4092,0.030246,-0.067859,1,0.21924
2.0668,-0.076535,0.42041,0,0,0,32.648,3.2347,0.029344,-0.071217,1,0.22272
1.957,-0.089612,0.40369,0,0,0,30.26,3.0631,0.028436,-0.074522,1,0.2262
1.8519,-0.10254,0.38703,0,0,0,28.036,2.8971,0.027517,-0.077726,1,0.22968
1.7468,-0.11547,0.37037,0,0,0,25.812,2.7311,0.026597,-0.080929,1,0.23316
1.6483,-0.12807,0.35392,0,0,0,23.826,2.5742,0.025668,-0.08394,1,0.23664
1.5503,-0.14067,0.33747,0,0,0,21.852,2.4177,0.024739,-0.08694,1,0.24012
1.4561,-0.15301,0.32119,0,0,0,20.013,2.2671,0.023807,-0.089806,1,0.2436
1.365,-0.16516,0.30506,0,0,0,18.283,2.1211,0.022875,-0.092564,1,0.24708
1.275,-0.17722,0.289,0,0,0,16.591,1.9769,0.021944,-0.095279,1,0.25056
1.191,-0.18882,0.2733,0,0,0,15.095,1.8421,0.021017,-0.097765,1,0.25404
1.1069,-0.20042,0.25759,0,0,0,13.599,1.7073,0.020091,-0.10025,1,0.25752
1.0283,-0.21151,0.24232,0,0,0,12.273,1.5816,0.019177,-0.10251,1,0.261
0.9513,-0.22244,0.22717,0,0,0,10.999,1.4585,0.018267,-0.1047,1,0.26448
0.87696,-0.23308,0.21228,0,0,0,9.8018,1.3401,0.017368,-0.10677,1,0.26796
0.80712,-0.24323,0.19782,0,0,0,8.7357,1.2293,0.016487,-0.10864,1,0.27144
0.73728,-0.25338,0.18337,0,0,0,7.6697,1.1186,0.015607,-0.11051,1,0.27492
0.67464,-0.2626,0.16976,0,0,0,6.7928,1.0203,0.014772,-0.11205,1,0.2784
0.61217,-0.2718,0.15618,0,0,0,5.9203,0.92235,0.01394,-0.11357,1,0.28188
0.55419,-0.28038,0.14323,0,0,0,5.1521,0.83219,0.013146,-0.11498,1,0.28536
0.49942,-0.28851,0.13075,0,0,0,4.4585,0.74762,0.012381,-0.11631,1,0.28884
0.44205,-0.29695,0.11774,0,0,0,3.7536,0.65949,0.011569,-0.11758,1,0.29232
0.37343,-0.30674,0.10244,0,0,0,2.9997,0.55601,0.010551,-0.11863,1,0.2958
0.3048,-0.31653,0.087133,0,0,0,2.2458,0.45253,0.009534,-0.11968,1,0.29928
0.27876,-0.31996,0.081184,0,0,0,1.9748,0.41375,0.0091641,-0.1197,1,0.30276
0.26215,-0.32198,0.077292,0,0,0,1.813,0.38941,0.008937,-0.11948,1,0.30624
0.24634,-0.32392,0.073568,0,0,0,1.6605,0.36631,0.0087185,-0.11928,1,0.30972
0.23104,-0.32581,0.069952,0,0,0,1.5141,0.34403,0.0085056,-0.1191,1,0.3132
0.21609,-0.32767,0.066411,0,0,0,1.372,0.3223,0.0082965,-0.11892,1,0.31668
0.19026,-0.32905,0.059321,0,0,0,1.1733,0.28703,0.0081588,-0.11711,1,0.32016
0.16448,-0.33042,0.052244,0,0,0,0.97485,0.25182,0.0080209,-0.1153,1,0.32364
0.13869,-0.3318,0.045167,0,0,0,0.7764,0.2166,0.007883,-0.11349,1,0.32712
0.11291,-0.33317,0.03809,0,0,0,0.57795,0.18139,0.007745,-0.11168,1,0.3306
0.090893,-0.33392,0.031994,0,0,0,0.41123,0.15154,0.0077132,-0.10986,1,0.33408
0.082661,-0.33239,0.02949,0,0,0,0.36062,0.14129,0.0080695,-0.108,1,0.33756
0.074429,-0.33085,0.026985,0,0,0,0.31001,0.13104,0.0084258,-0.10615,1,0.34104
0.066197,-0.32932,0.024481,0,0,0,0.2594,0.12079,0.0087821,-0.10429,1,0.34452
0.057965,-0.32778,0.021977,0,0,0,0.20879,0.11054,0.0091384,-0.10244,1,0.348
