"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
13.275,0.18395,0.16561,0,0,0,122.67,6.8047,0.04565,-3.6121,1,0
13.269,0.18753,0.23715,0,0,0,123.47,6.8201,0.045015,-3.5898,1,0.00348
13.262,0.1911,0.30869,0,0,0,124.26,6.8354,0.04438,-3.5674,1,0.00696
13.246,0.19685,0.42093,0,0,0,126.11,6.8716,0.043518,-3.5175,1,0.01044
13.223,0.20402,0.55969,0,0,0,128.65,6.9214,0.042509,-3.4496,1,0.01392
13.197,0.21126,0.6961,0,0,0,131.6,6.9797,0.04162,-3.3724,1,0.0174
13.155,0.21875,0.82369,0,0,0,136.1,7.0703,0.041184,-3.2605,1,0.02088
13.113,0.22624,0.95128,0,0,0,140.6,7.1609,0.040747,-3.1486,1,0.02436
13.051,0.23436,1.0663,0,0,0,146.75,7.2883,0.040648,-3.0078,1,0.02784
12.984,0.24263,1.1786,0,0,0,153.26,7.4241,0.040624,-2.8604,1,0.03132
12.905,0.25132,1.2832,0,0,0,160.63,7.58,0.040616,-2.703,1,0.0348
12.809,0.26059,1.3773,0,0,0,169.16,7.7637,0.040629,-2.5321,1,0.03828
12.712,0.26989,1.4709,0,0,0,177.74,7.9487,0.040637,-2.3608,1,0.04176
12.58,0.28003,1.5448,0,0,0,188.26,8.1816,0.040433,-2.1793,1,0.04524
12.448,0.29017,1.6187,0,0,0,198.78,8.4145,0.040228,-1.9977,1,0.04872
12.289,0.30049,1.6785,0,0,0,210.44,8.676,0.039838,-1.8178,1,0.0522
12.114,0.31092,1.7301,0,0,0,222.77,8.9542,0.039339,-1.6388,1,0.05568
11.926,0.32115,1.7761,0,0,0,235.38,9.2393,0.038798,-1.4635,1,0.05916
11.701,0.33072,1.8038,0,0,0,248.86,9.5468,0.038121,-1.2998,1,0.06264
11.475,0.34029,1.8315,0,0,0,262.35,9.8543,0.037444,-1.1361,1,0.06612
11.203,0.34768,1.8389,0,0,0,275.55,10.157,0.036784,-0.99365,1,0.0696
10.923,0.35467,1.8425,0,0,0,288.71,10.459,0.036127,-0.85515,1,0.07308
10.621,0.35964,1.8364,0,0,0,300.72,10.735,0.035534,-0.73021,1,0.07656
10.292,0.36211,1.8183,0,0,0,311.33,10.979,0.035019,-0.62198,1,0.08004
9.9613,0.36427,1.7993,0,0,0,321.68,11.217,0.034511,-0.51536,1,0.08352
9.5958,0.36075,1.764,0,0,0,327.46,11.351,0.034137,-0.43732,1,0.087
9.2302,0.35724,1.7288,0,0,0,333.25,11.485,0.033763,-0.35927,1,0.09048
8.8519,0.34942,1.6859,0,0,0,334.96,11.526,0.033441,-0.29847,1,0.09396
8.467,0.33939,1.6389,0,0,0,334.57,11.52,0.033145,-0.24659,1,0.09744
8.0814,0.32773,1.5903,0,0,0,332.5,11.475,0.032848,-0.20012,1,0.10092
7.6938,0.31158,1.5366,0,0,0,325.81,11.324,0.032547,-0.16869,1,0.1044
7.3062,0.29543,1.483,0,0,0,319.12,11.172,0.032246,-0.13726,1,0.10788
6.9275,0.27483,1.4266,0,0,0,307.91,10.909,0.031874,-0.11897,1,0.11136
6.5502,0.25356,1.3699,0,0,0,296.03,10.63,0.031491,-0.10265,1,0.11484
6.1818,0.23044,1.3127,0,0,0,282.59,10.304,0.03105,-0.091363,1,0.11832
5.8232,0.20526,1.2553,0,0,0,267.44,9.9289,0.030546,-0.085634,1,0.1218
5.4666,0.17987,1.1978,0,0,0,252.18,9.5483,0.030031,-0.080458,1,0.12528
5.1319,0.15199,1.141,0,0,0,235.67,9.1119,0.029393,-0.081613,1,0.12876
4.7972,0.12411,1.0843,0,0,0,219.15,8.6754,0.028755,-0.082768,1,0.13224
4.4808,0.095132,1.0286,0,0,0,202.72,8.2181,0.028025,-0.086726,1,0.13572
4.1727,0.06565,0.97337,0,0,0,186.33,7.7514,0.027252,-0.091967,1,0.1392
3.8725,0.035978,0.91877,0,0,0,170.26,7.2831,0.026443,-0.097822,1,0.14268
3.5918,0.005846,0.86563,0,0,0,155,6.811,0.025547,-0.10517,1,0.14616
3.3111,-0.024286,0.8125,0,0,0,139.74,6.339,0.024651,-0.11252,1,0.14964
3.0549,-0.054263,0.76149,0,0,0,126,5.8796,0.023663,-0.12058,1,0.15312
2.8016,-0.084222,0.71073,0,0,0,112.43,5.4216,0.022665,-0.12871,1,0.1566
2.5618,-0.11374,0.66127,0,0,0,99.856,4.9779,0.021628,-0.1368,1,0.16008
