"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
9.8463,0.53838,0.60545,0,0,0,308.8,6.1557,0.005644,-17.646,1,0
10.094,0.48686,1.0101,0,0,0,311.47,6.4445,0.0061873,-17.123,1,0.00348
10.604,0.39495,1.6372,0,0,0,308.84,7.0285,0.0074594,-15.969,1,0.00696
11.22,0.29948,2.1794,0,0,0,292.66,7.6741,0.0092828,-14.466,1,0.01044
11.839,0.21501,2.5599,0,0,0,262.8,8.2294,0.011519,-12.832,1,0.01392
12.41,0.14324,2.8129,0,0,0,224.42,8.6221,0.014058,-11.215,1,0.0174
12.92,0.082126,2.9712,0,0,0,185.16,8.8556,0.016807,-9.6963,1,0.02088
13.359,0.032395,3.0482,0,0,0,151.23,8.9235,0.01971,-8.3469,1,0.02436
13.744,-0.0075868,3.0791,0,0,0,123.38,8.8774,0.022737,-7.1435,1,0.02784
14.076,-0.037037,3.0793,0,0,0,101.57,8.7381,0.025942,-6.0765,1,0.03132
14.354,-0.055433,3.0627,0,0,0,85.508,8.5295,0.029359,-5.1387,1,0.0348
14.578,-0.062977,3.042,0,0,0,74.699,8.2794,0.032929,-4.3234,1,0.03828
14.748,-0.060852,3.0276,0,0,0,68.492,8.017,0.036444,-3.6252,1,0.04176
14.858,-0.050461,3.0278,0,0,0,66.857,7.7762,0.039228,-3.0544,1,0.04524
14.925,-0.035942,3.0398,0,0,0,68.594,7.5721,0.040851,-2.5702,1,0.04872
14.953,-0.018846,3.06,0,0,0,73.657,7.4113,0.041209,-2.1514,1,0.0522
14.945,9.5069e-07,3.0854,0,0,0,82.471,7.3005,0.040331,-1.7834,1,0.05568
14.901,0.02016,3.1131,0,0,0,95.886,7.2479,0.038309,-1.4556,1,0.05916
14.816,0.041487,3.14,0,0,0,115.27,7.2641,0.035232,-1.1621,1,0.06264
14.67,0.064399,3.1602,0,0,0,145.73,7.392,0.030838,-0.908,1,0.06612
14.443,0.089445,3.1653,0,0,0,193.63,7.6727,0.025602,-0.68483,1,0.0696
14.093,0.11752,3.1457,0,0,0,269.16,8.1705,0.020467,-0.48673,1,0.07308
13.569,0.14883,3.0914,0,0,0,383.02,8.9415,0.016242,-0.3152,1,0.07656
12.824,0.18164,2.9951,0,0,0,538.39,9.9818,0.013408,-0.1769,1,0.08004
11.837,0.2114,2.8536,0,0,0,724.94,11.191,0.011968,-0.082239,1,0.08352
10.621,0.2254,2.6655,0,0,0,891.91,12.217,0.011568,-0.042987,1,0.087
9.3247,0.21596,2.4491,0,0,0,982.21,12.713,0.011546,-0.040757,1,0.09048
8.0372,0.18419,2.2174,0,0,0,991,12.644,0.011615,-0.06144,1,0.09396
6.8108,0.13281,1.9786,0,0,0,929.67,12.06,0.011616,-0.096108,1,0.09744
5.6773,0.065934,1.7396,0,0,0,818.71,11.065,0.011456,-0.13767,1,0.10092
4.651,-0.01186,1.5051,0,0,0,681.59,9.7926,0.011089,-0.18093,1,0.1044
3.7515,-0.096507,1.2806,0,0,0,541.7,8.3768,0.010483,-0.22177,1,0.10788
2.9643,-0.18276,1.0685,0,0,0,414.7,6.9543,0.0096766,-0.25793,1,0.11136
2.2737,-0.26769,0.86968,0,0,0,304.62,5.5895,0.0087138,-0.28903,1,0.11484
1.6737,-0.34918,0.68552,0,0,0,213.01,4.3233,0.0076306,-0.31487,1,0.11832
1.1596,-0.42527,0.51767,0,0,0,139.84,3.1869,0.0064747,-0.33549,1,0.1218
0.72838,-0.49405,0.36824,0,0,0,84.132,2.205,0.0053069,-0.35107,1,0.12528
0.39225,-0.55149,0.24414,0,0,0,46.579,1.4284,0.004239,-0.36082,1,0.12876
0.15422,-0.59246,0.1518,0,0,0,23.916,0.88388,0.0035008,-0.36208,1,0.13224
0.0013212,-0.61663,0.0902,0,0,0,11.255,0.54203,0.0032887,-0.35723,1,0.13572
-0.084769,-0.62717,0.054068,0,0,0,5.0852,0.35556,0.0037156,-0.3495,1,0.1392
-0.12649,-0.6288,0.035572,0,0,0,2.4742,0.26868,0.0047643,-0.34091,1,0.14268
-0.14518,-0.62621,0.026538,0,0,0,1.4187,0.23104,0.0062724,-0.33181,1,0.14616
-0.15333,-0.62198,0.021917,0,0,0,0.96689,0.21425,0.00789,-0.32256,1,0.14964
-0.15736,-0.61723,0.019018,0,0,0,0.71947,0.20479,0.0092933,-0.31409,1,0.15312
-0.15939,-0.61229,0.01692,0,0,0,0.56024,0.19848,0.010472,-0.30644,1,0.1566
-0.16012,-0.60727,0.015317,0,0,0,0.45161,0.19396,0.01146,-0.29947,1,0.16008
-0.15994,-0.60221,0.014037,0,0,0,0.37344,0.19047,0.012301,-0.29301,1,0.16356
-0.15908,-0.59714,0.012979,0,0,0,0.31494,0.18761,0.01303,-0.28691,1,0.16704
-0.15762,-0.59206,0.012097,0,0,0,0.27081,0.18518,0.01366,-0.28111,1,0.17052
-0.15569,-0.58699,0.011345,0,0,0,0.23641,0.18301,0.014209,-0.27557,1,0.174
-0.15342,-0.58191,0.010681,0,0,0,0.20825,0.18098,0.014697,-0.27021,1,0.17748
-0.15085,-0.57683,0.010091,0,0,0,0.18496,0.17904,0.015134,-0.265,1,0.18096
-0.14804,-0.57174,0.0095627,0,0,0,0.1655,0.17718,0.015526,-0.2599,1,0.18444
-0.14503,-0.56665,0.0090867,0,0,0,0.14909,0.17536,0.015881,-0.25492,1,0.18792
