"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
7.7496,0.061464,0.017261,0,0,0,61.22,5.5805,0.099654,0.34754,1,0
7.7434,0.065963,0.0254,0,0,0,61.248,5.5831,0.099186,0.34485,1,0.00348
7.7373,0.070462,0.03354,0,0,0,61.277,5.5857,0.098717,0.34216,1,0.00696
7.7311,0.07496,0.04168,0,0,0,61.305,5.5883,0.098249,0.33947,1,0.01044
7.725,0.079459,0.049819,0,0,0,61.334,5.5909,0.097781,0.33678,1,0.01392
7.7161,0.084843,0.05961,0,0,0,61.373,5.5946,0.097152,0.33313,1,0.0174
7.6971,0.093542,0.075586,0,0,0,61.453,5.6023,0.095919,0.32588,1,0.02088
7.6781,0.10224,0.091563,0,0,0,61.534,5.61,0.094686,0.31862,1,0.02436
7.659,0.11094,0.10754,0,0,0,61.614,5.6177,0.093453,0.31137,1,0.02784
7.64,0.11964,0.12352,0,0,0,61.694,5.6254,0.092219,0.30412,1,0.03132
7.6151,0.12799,0.13913,0,0,0,61.788,5.6349,0.090826,0.29575,1,0.0348
7.5819,0.13587,0.15425,0,0,0,61.899,5.6468,0.089213,0.28586,1,0.03828
7.5488,0.14375,0.16937,0,0,0,62.011,5.6588,0.0876,0.27598,1,0.04176
7.5156,0.15163,0.18448,0,0,0,62.122,5.6707,0.085987,0.26609,1,0.04524
7.4824,0.15951,0.1996,0,0,0,62.234,5.6827,0.084375,0.2562,1,0.04872
7.4395,0.16658,0.21384,0,0,0,62.338,5.6959,0.082758,0.24594,1,0.0522
7.391,0.17318,0.22758,0,0,0,62.437,5.7098,0.08114,0.23547,1,0.05568
7.3424,0.17978,0.24132,0,0,0,62.536,5.7237,0.079522,0.225,1,0.05916
7.2938,0.18638,0.25505,0,0,0,62.635,5.7376,0.077904,0.21453,1,0.06264
7.2452,0.19298,0.26879,0,0,0,62.734,5.7516,0.076286,0.20406,1,0.06612
7.1834,0.19814,0.28092,0,0,0,62.766,5.7636,0.074863,0.19436,1,0.0696
7.1191,0.20302,0.29277,0,0,0,62.786,5.7752,0.073477,0.18481,1,0.07308
7.0548,0.2079,0.30461,0,0,0,62.806,5.7869,0.07209,0.17526,1,0.07656
6.9906,0.21279,0.31645,0,0,0,62.825,5.7986,0.070703,0.16571,1,0.08004
6.9255,0.21756,0.32817,0,0,0,62.837,5.8098,0.069333,0.15626,1,0.08352
6.8469,0.22044,0.33771,0,0,0,62.702,5.8136,0.068256,0.1484,1,0.087
6.7683,0.22331,0.34726,0,0,0,62.567,5.8174,0.067179,0.14053,1,0.09048
6.6898,0.22618,0.35681,0,0,0,62.433,5.8212,0.066102,0.13267,1,0.09396
6.6112,0.22905,0.36636,0,0,0,62.298,5.825,0.065026,0.12481,1,0.09744
6.5296,0.23137,0.37525,0,0,0,62.106,5.8253,0.064023,0.11743,1,0.10092
6.4397,0.23216,0.38231,0,0,0,61.753,5.8159,0.063226,0.11137,1,0.1044
6.3498,0.23295,0.38936,0,0,0,61.4,5.8066,0.062429,0.10532,1,0.10788
6.26,0.23374,0.39642,0,0,0,61.047,5.7972,0.061632,0.099258,1,0.11136
6.1701,0.23453,0.40348,0,0,0,60.694,5.7878,0.060835,0.093201,1,0.11484
6.0767,0.23439,0.40936,0,0,0,60.225,5.7704,0.060128,0.087853,1,0.11832
5.9793,0.23323,0.41394,0,0,0,59.629,5.7441,0.059523,0.08329,1,0.1218
5.882,0.23207,0.41852,0,0,0,59.033,5.7178,0.058917,0.078726,1,0.12528
5.7847,0.2309,0.4231,0,0,0,58.436,5.6915,0.058311,0.074162,1,0.12876
5.6873,0.22974,0.42769,0,0,0,57.84,5.6651,0.057706,0.069598,1,0.13224
5.5874,0.22742,0.43069,0,0,0,57.091,5.6264,0.057167,0.065735,1,0.13572
5.4864,0.22456,0.43296,0,0,0,56.273,5.5821,0.056659,0.062193,1,0.1392
5.3853,0.2217,0.43524,0,0,0,55.454,5.5377,0.056151,0.058652,1,0.14268
5.2842,0.21884,0.43751,0,0,0,54.635,5.4933,0.055643,0.05511,1,0.14616
5.1831,0.21598,0.43979,0,0,0,53.816,5.4489,0.055135,0.051569,1,0.14964
5.0814,0.21186,0.44023,0,0,0,52.842,5.3898,0.054656,0.048575,1,0.15312
4.9796,0.2076,0.44045,0,0,0,51.849,5.329,0.05418,0.045645,1,0.1566
4.8778,0.20333,0.44067,0,0,0,50.856,5.2682,0.053705,0.042715,1,0.16008
4.776,0.19907,0.4409,0,0,0,49.863,5.2074,0.053229,0.039785,1,0.16356
4.6744,0.19468,0.44093,0,0,0,48.859,5.1451,0.052752,0.036891,1,0.16704
4.5742,0.18929,0.43939,0,0,0,47.753,5.0708,0.052265,0.034297,1,0.17052
4.474,0.18389,0.43784,0,0,0,46.648,4.9965,0.051778,0.031703,1,0.174
4.3737,0.17849,0.4363,0,0,0,45.543,4.9221,0.051292,0.029109,1,0.17748
4.2735,0.1731,0.43475,0,0,0,44.437,4.8478,0.050805,0.026516,1,0.18096
4.1743,0.16742,0.43273,0,0,0,43.316,4.7702,0.050307,0.023978,1,0.18444
4.0773,0.16115,0.4297,0,0,0,42.16,4.6859,0.049784,0.021562,1,0.18792
3.9803,0.15488,0.42666,0,0,0,41.004,4.6016,0.049262,0.019146,1,0.1914
3.8832,0.1486,0.42363,0,0,0,39.848,4.5173,0.04874,0.016731,1,0.19488
3.7862,0.14233,0.42059,0,0,0,38.692,4.4329,0.048218,0.014315,1,0.19836
3.6914,0.1357,0.41691,0,0,0,37.538,4.3452,0.047672,0.011954,1,0.20184
3.5987,0.12877,0.41265,0,0,0,36.385,4.2545,0.047104,0.0096419,1,0.20532
3.5059,0.12184,0.40838,0,0,0,35.233,4.1638,0.046537,0.0073301,1,0.2088
3.4131,0.1149,0.40412,0,0,0,34.081,4.0731,0.045969,0.0050182,1,0.21228
3.3204,0.10797,0.39986,0,0,0,32.928,3.9824,0.045402,0.0027063,1,0.21576
3.2313,0.10069,0.39486,0,0,0,31.811,3.8895,0.044799,0.0004574,1,0.21924
