"U:0","U:1","U:2","disk:volumeForce:0","disk:volumeForce:1","disk:volumeForce:2","epsilon","k","nut","p","vtkValidPointMask","arc_length"
13.31,0.3141,0.34751,0,0,0,158.81,7.9444,0.023126,-8.4332,1,0
13.348,0.30596,0.47478,0,0,0,157.71,7.9552,0.023592,-8.3402,1,0.00348
13.386,0.29782,0.60204,0,0,0,156.61,7.9659,0.024058,-8.2472,1,0.00696
13.455,0.28659,0.79296,0,0,0,154.46,7.9802,0.024909,-8.0577,1,0.01044
13.545,0.27334,1.0254,0,0,0,151.63,7.9967,0.026011,-7.8053,1,0.01392
13.635,0.26154,1.2485,0,0,0,148.85,8.0105,0.027147,-7.5311,1,0.0174
13.729,0.25521,1.4369,0,0,0,146.2,8.0145,0.028408,-7.1751,1,0.02088
13.822,0.24888,1.6254,0,0,0,143.56,8.0185,0.02967,-6.819,1,0.02436
13.891,0.24845,1.7813,0,0,0,143.16,8.0212,0.030859,-6.4162,1,0.02784
13.955,0.24936,1.93,0,0,0,143.26,8.0237,0.032033,-6.0028,1,0.03132
13.998,0.25277,2.0652,0,0,0,145.38,8.039,0.033209,-5.5771,1,0.0348
14.013,0.25961,2.1821,0,0,0,150.25,8.072,0.034389,-5.1348,1,0.03828
14.026,0.26657,2.2983,0,0,0,155.29,8.1067,0.035557,-4.6923,1,0.04176
13.984,0.27788,2.3895,0,0,0,166.6,8.2065,0.036301,-4.2472,1,0.04524
13.942,0.28919,2.4807,0,0,0,177.9,8.3063,0.037045,-3.802,1,0.04872
13.855,0.30247,2.5548,0,0,0,194.6,8.4737,0.036838,-3.3722,1,0.0522
13.741,0.31689,2.619,0,0,0,214.44,8.6804,0.036077,-2.9513,1,0.05568
13.604,0.33164,2.6738,0,0,0,237.15,8.9236,0.034983,-2.5422,1,0.05916
13.386,0.34743,2.6986,0,0,0,269.1,9.2844,0.032818,-2.1712,1,0.06264
13.169,0.36322,2.7235,0,0,0,301.05,9.6452,0.030652,-1.8002,1,0.06612
12.819,0.37649,2.7019,0,0,0,344.61,10.138,0.028501,-1.4958,1,0.0696
12.446,0.38928,2.6717,0,0,0,390.34,10.656,0.026353,-1.2039,1,0.07308
11.993,0.39716,2.6165,0,0,0,436.9,11.173,0.024629,-0.95475,1,0.07656
11.443,0.39897,2.5304,0,0,0,484.51,11.69,0.023427,-0.75822,1,0.08004
10.888,0.39986,2.4425,0,0,0,530.92,12.193,0.022265,-0.56617,1,0.08352
10.22,0.38449,2.3211,0,0,0,556.37,12.436,0.021803,-0.45342,1,0.087
9.5528,0.36911,2.1996,0,0,0,581.81,12.68,0.021341,-0.34066,1,0.09048
8.8695,0.34286,2.071,0,0,0,585.02,12.652,0.021044,-0.26673,1,0.09396
8.178,0.31099,1.9387,0,0,0,576.73,12.483,0.020832,-0.2129,1,0.09744
7.4978,0.27606,1.8073,0,0,0,561.44,12.219,0.020595,-0.16871,1,0.10092
6.8492,0.23266,1.6787,0,0,0,526.73,11.688,0.020287,-0.15131,1,0.1044
6.2007,0.18926,1.5501,0,0,0,492.01,11.157,0.019979,-0.13391,1,0.10788
5.6148,0.14033,1.4293,0,0,0,446.96,10.433,0.019458,-0.13384,1,0.11136
5.0382,0.090581,1.3098,0,0,0,400.37,9.6799,0.018904,-0.13636,1,0.11484
4.4991,0.039797,1.195,0,0,0,354.2,8.893,0.018233,-0.14326,1,0.11832
4.0014,-0.012128,1.0856,0,0,0,308.52,8.0683,0.017432,-0.15499,1,0.1218
3.5099,-0.063971,0.97709,0,0,0,263.4,7.2457,0.016615,-0.16694,1,0.12528
3.0892,-0.11488,0.87805,0,0,0,224.79,6.4458,0.015604,-0.18138,1,0.12876
2.6686,-0.16578,0.77901,0,0,0,186.19,5.6459,0.014593,-0.19582,1,0.13224
2.2977,-0.21431,0.68716,0,0,0,153.76,4.9038,0.013484,-0.20976,1,0.13572
1.9495,-0.26174,0.5986,0,0,0,124.17,4.1881,0.012329,-0.22348,1,0.1392
1.6215,-0.3076,0.51335,0,0,0,97.131,3.5072,0.01116,-0.23666,1,0.14268
1.3424,-0.34966,0.43617,0,0,0,76.326,2.9111,0.0099577,-0.2485,1,0.14616
1.0632,-0.39171,0.35898,0,0,0,55.521,2.315,0.0087551,-0.26033,1,0.14964
0.84762,-0.42575,0.29466,0,0,0,41.914,1.8535,0.0076473,-0.26734,1,0.15312
0.63934,-0.45887,0.23182,0,0,0,29.138,1.4074,0.0065505,-0.27378,1,0.1566
0.47071,-0.48459,0.17925,0,0,0,19.646,1.0509,0.0056569,-0.27617,1,0.16008
0.34143,-0.50298,0.13684,0,0,0,13.41,0.78334,0.0049649,-0.27453,1,0.16356
0.2196,-0.51978,0.096709,0,0,0,7.5988,0.53211,0.0043483,-0.2724,1,0.16704
0.1599,-0.52335,0.07545,0,0,0,5.3287,0.41713,0.0043595,-0.26622,1,0.17052
0.1002,-0.52693,0.054192,0,0,0,3.0587,0.30215,0.0043707,-0.26003,1,0.174
0.067653,-0.52497,0.042103,0,0,0,1.9458,0.24254,0.0048946,-0.25281,1,0.17748
0.046058,-0.52078,0.033711,0,0,0,1.2994,0.20526,0.0056252,-0.24517,1,0.18096
0.028901,-0.51594,0.026965,0,0,0,0.79969,0.17614,0.0064606,-0.23734,1,0.18444
0.021258,-0.50971,0.023748,0,0,0,0.61414,0.16452,0.0075206,-0.22912,1,0.18792
0.013615,-0.50349,0.02053,0,0,0,0.4286,0.15289,0.0085807,-0.2209,1,0.1914
0.0099011,-0.49715,0.018898,0,0,0,0.35079,0.14776,0.0095751,-0.2133,1,0.19488
0.0065133,-0.4908,0.017398,0,0,0,0.28193,0.14316,0.010564,-0.20574,1,0.19836
0.0038678,-0.48456,0.016203,0,0,0,0.23221,0.13972,0.011487,-0.1988,1,0.20184
0.0018838,-0.47843,0.015281,0,0,0,0.19955,0.1373,0.01235,-0.1924,1,0.20532
-1.1035e-05,-0.47235,0.014394,0,0,0,0.16884,0.13499,0.013203,-0.18613,1,0.2088
-0.0013308,-0.46657,0.013734,0,0,0,0.15062,0.13339,0.013986,-0.18063,1,0.21228
-0.0026506,-0.46079,0.013075,0,0,0,0.1324,0.13178,0.01477,-0.17513,1,0.21576
-0.0036846,-0.45527,0.012525,0,0,0,0.11925,0.13044,0.015504,-0.17014,1,0.21924
-0.0046178,-0.44984,0.012014,0,0,0,0.10789,0.12919,0.01622,-0.16533,1,0.22272
-0.0054624,-0.44453,0.011536,0,0,0,0.097808,0.12799,0.016916,-0.16071,1,0.2262
-0.0061386,-0.43943,0.011121,0,0,0,0.090156,0.12691,0.017573,-0.15648,1,0.22968
-0.0068147,-0.43434,0.010705,0,0,0,0.082504,0.12583,0.01823,-0.15225,1,0.23316
-0.0073127,-0.42952,0.010353,0,0,0,0.076943,0.12484,0.018836,-0.14848,1,0.23664
-0.0078014,-0.42473,0.010005,0,0,0,0.071491,0.12384,0.019438,-0.14474,1,0.24012
-0.0082095,-0.42008,0.0096834,0,0,0,0.066815,0.12288,0.020013,-0.14122,1,0.2436
-0.0085531,-0.41555,0.0093841,0,0,0,0.06276,0.12194,0.020566,-0.13789,1,0.24708
-0.0088779,-0.41107,0.009091,0,0,0,0.058856,0.12101,0.02111,-0.13462,1,0.25056
-0.0091045,-0.40678,0.0088298,0,0,0,0.055736,0.1201,0.021616,-0.13164,1,0.25404
-0.0093312,-0.4025,0.0085686,0,0,0,0.052617,0.1192,0.022121,-0.12866,1,0.25752
-0.0094837,-0.39838,0.0083304,0,0,0,0.049998,0.11831,0.022593,-0.12591,1,0.261
-0.0096137,-0.39431,0.0080992,0,0,0,0.047532,0.11743,0.023056,-0.12323,1,0.26448
-0.0097136,-0.39032,0.0078768,0,0,0,0.045241,0.11656,0.023504,-0.12064,1,0.26796
-0.0097626,-0.38644,0.0076695,0,0,0,0.043248,0.11569,0.023929,-0.11822,1,0.27144
-0.0098116,-0.38257,0.0074622,0,0,0,0.041254,0.11483,0.024355,-0.11579,1,0.27492
-0.0097942,-0.37887,0.0072736,0,0,0,0.039605,0.11399,0.024751,-0.1136,1,0.2784
-0.0097752,-0.37518,0.0070855,0,0,0,0.037963,0.11315,0.025146,-0.11141,1,0.28188
-0.0097226,-0.37158,0.0069059,0,0,0,0.036478,0.11232,0.025505,-0.10937,1,0.28536
-0.0096457,-0.36805,0.0067326,0,0,0,0.035104,0.1115,0.025837,-0.10743,1,0.28884
